county,state,fips,measure,value,population
Flagler,Florida,12035,Depression among adults,18.3,131439
Seminole,Florida,12117,Depression among adults,16.4,484271
Wheeler,Georgia,13309,Depression among adults,19.0,7081
Douglas,Illinois,17041,Depression among adults,22.6,19629
Fremont,Iowa,19071,Depression among adults,20.1,6458
Webster,Nebraska,31181,Depression among adults,17.6,3351
Nye,Nevada,32023,Depression among adults,21.0,55720
Los Alamos,New Mexico,35028,Depression among adults,20.5,19444
Quay,New Mexico,35037,Depression among adults,22.3,8510
Pamlico,North Carolina,37137,Depression among adults,23.0,12423
Pender,North Carolina,37141,Depression among adults,24.8,68521
Holmes,Ohio,39075,Depression among adults,29.3,44386
Madison,Ohio,39097,Depression among adults,25.2,44602
Mayes,Oklahoma,40097,Depression among adults,25.1,39889
Malheur,Oregon,41045,Depression among adults,24.8,32044
Pickens,South Carolina,45077,Depression among adults,25.4,135495
Sully,South Dakota,46119,Depression among adults,18.8,1494
Fentress,Tennessee,47049,Depression among adults,30.4,19696
Colorado,Texas,48089,Depression among adults,21.1,21117
Palo Pinto,Texas,48363,Depression among adults,24.0,29747
Wayne,Utah,49055,Depression among adults,27.3,2614
Louisa,Virginia,51109,Depression among adults,23.0,41037
Searcy,Arkansas,05129,Frequent mental distress among adults,22.1,7806
St. Francis,Arkansas,05123,Depression among adults,21.7,22101
Jefferson,Alabama,01073,Frequent mental distress among adults,17.5,662895
Conecuh,Alabama,01035,Frequent mental distress among adults,20.8,11174
Prairie,Arkansas,05117,Frequent mental distress among adults,18.0,8036
DeKalb,Alabama,01049,Depression among adults,27.2,72569
Washington,Alabama,01129,Frequent mental distress among adults,17.7,15022
Madison,Alabama,01089,Frequent mental distress among adults,16.0,412600
Ashley,Arkansas,05003,Frequent mental distress among adults,19.7,18262
Copper River,Alaska,02066,Depression among adults,19.8,2674
Wrangell,Alaska,02275,Frequent mental distress among adults,14.8,2064
North Slope,Alaska,02185,Frequent mental distress among adults,16.6,10603
Winston,Alabama,01133,Depression among adults,26.2,23611
Merced,California,06047,Depression among adults,21.3,291920
Imperial,California,06025,Frequent mental distress among adults,18.0,179057
Independence,Arkansas,05063,Frequent mental distress among adults,20.5,38320
Macon,Alabama,01087,Frequent mental distress among adults,19.7,18370
Searcy,Arkansas,05129,Frequent mental distress among adults,19.0,7806
Madera,California,06039,Depression among adults,21.9,162858
Juneau,Alaska,02110,Depression among adults,21.5,31555
Coconino,Arizona,04005,Depression among adults,22.5,144472
Chilton,Alabama,01021,Frequent mental distress among adults,19.3,46431
Dallas,Alabama,01047,Depression among adults,20.3,36165
Jefferson,Arkansas,05069,Depression among adults,21.5,63661
Yuma,Arizona,04027,Frequent mental distress among adults,15.3,213221
Humboldt,California,06023,Frequent mental distress among adults,19.7,133985
Lawrence,Arkansas,05075,Depression among adults,27.3,16318
Clark,Arkansas,05019,Depression among adults,26.0,21274
Jackson,Alabama,01071,Frequent mental distress among adults,18.5,53467
Nevada,California,06057,Depression among adults,23.0,102037
Crittenden,Arkansas,05035,Depression among adults,24.4,47139
Bristol Bay,Alaska,02060,Frequent mental distress among adults,15.3,844
Yell,Arkansas,05149,Depression among adults,26.1,20044
Washington,Arkansas,05143,Depression among adults,24.6,261549
Lawrence,Alabama,01079,Depression among adults,24.9,33502
Fayette,Alabama,01057,Frequent mental distress among adults,20.2,15967
Phillips,Arkansas,05107,Frequent mental distress among adults,22.4,14961
Mendocino,California,06045,Depression among adults,23.0,89108
Drew,Arkansas,05043,Frequent mental distress among adults,19.8,16945
Clay,Arkansas,05021,Frequent mental distress among adults,21.1,14201
Greene,Alabama,01063,Depression among adults,20.4,7341
Cleveland,Arkansas,05025,Frequent mental distress among adults,20.7,7378
Hale,Alabama,01065,Depression among adults,22.3,14888
Merced,California,06047,Frequent mental distress among adults,19.0,291920
Greenlee,Arizona,04011,Depression among adults,19.3,9369
Lake and Peninsula,Alaska,02164,Depression among adults,20.0,1331
Montgomery,Arkansas,05097,Depression among adults,27.8,8620
Lincoln,Arkansas,05079,Frequent mental distress among adults,19.5,12898
Humboldt,California,06023,Frequent mental distress among adults,20.7,133985
