name,median_income,median_age,poverty_pop,broadband_pop,total_pop,state_code,county_code,fips
"Autauga County, Alabama",62660,38.5,7847,18679,58239,01,001,01001
"Baldwin County, Alabama",64346,43.4,20598,76602,227131,01,003,01003
"Barbour County, Alabama",36422,40.2,5890,5872,25259,01,005,01005
"Bibb County, Alabama",54277,39.7,3558,5284,22412,01,007,01007
"Blount County, Alabama",52830,41.1,7720,17244,58884,01,009,01009
"Bullock County, Alabama",29063,38.7,3065,2032,10386,01,011,01011
"Butler County, Alabama",45236,41.2,3430,4986,19181,01,013,01013
"Calhoun County, Alabama",50977,39.7,19870,36131,116425,01,015,01015
"Chambers County, Alabama",47232,42.0,5177,10122,34834,01,017,01017
"Cherokee County, Alabama",43475,46.7,3683,7431,24975,01,019,01019
"Chilton County, Alabama",56243,39.8,6950,12960,44857,01,021,01021
"Choctaw County, Alabama",38581,46.5,2718,3321,12792,01,023,01023
"Clarke County, Alabama",44108,42.6,5036,5593,23346,01,025,01025
"Clay County, Alabama",45163,43.3,2358,3963,14184,01,027,01027
"Cleburne County, Alabama",48333,41.9,2111,4075,15046,01,029,01029
"Coffee County, Alabama",59034,39.1,8340,17169,53043,01,031,01031
"Colbert County, Alabama",52017,42.1,8508,16864,56789,01,033,01033
"Conecuh County, Alabama",37986,45.4,1522,2578,11778,01,035,01035
"Coosa County, Alabama",50013,49.8,1122,2869,10442,01,037,01037
"Covington County, Alabama",46186,42.9,6641,10737,37490,01,039,01039
"Crenshaw County, Alabama",43103,42.1,1711,2995,13300,01,041,01041
"Cullman County, Alabama",52690,41.2,10519,26979,87129,01,043,01043
"Dale County, Alabama",50052,37.9,8002,16023,49443,01,045,01045
"Dallas County, Alabama",34957,39.7,9375,10477,39162,01,047,01047
"DeKalb County, Alabama",44037,39.7,14525,20465,71554,01,049,01049
"Elmore County, Alabama",67597,39.0,8470,27023,87146,01,051,01051
"Escambia County, Alabama",38464,39.9,7979,8769,36879,01,053,01053
"Etowah County, Alabama",46984,41.5,16376,31524,103468,01,055,01055
"Fayette County, Alabama",43960,43.6,3433,4461,16365,01,057,01057
"Franklin County, Alabama",43633,39.0,5720,6645,32034,01,059,01059
"Geneva County, Alabama",43581,43.3,6188,7433,26604,01,061,01061
"Greene County, Alabama",28826,44.0,3079,1591,7851,01,063,01063
"Hale County, Alabama",32294,41.0,3629,3463,14819,01,065,01065
"Henry County, Alabama",55870,44.6,2400,5146,17165,01,067,01067
"Houston County, Alabama",50222,40.4,18584,33127,106355,01,069,01069
"Jackson County, Alabama",43785,43.2,9160,15889,52548,01,071,01071
"Jefferson County, Alabama",58330,37.9,104579,225090,672550,01,073,01073
"Lamar County, Alabama",43324,44.6,2234,3519,13929,01,075,01075
"Lauderdale County, Alabama",50000,40.7,12164,29623,93342,01,077,01077
"Lawrence County, Alabama",51712,42.8,5040,8544,33089,01,079,01079
"Lee County, Alabama",57191,33.0,33086,54197,172223,01,081,01081
"Limestone County, Alabama",70736,40.2,11243,32875,101217,01,083,01083
"Lowndes County, Alabama",31961,42.5,2185,2163,10334,01,085,01085
"Macon County, Alabama",39303,39.3,3791,4941,19490,01,087,01087
"Madison County, Alabama",71153,38.6,40583,139025,382149,01,089,01089
"Marengo County, Alabama",35379,41.7,4278,5224,19397,01,091,01091
"Marion County, Alabama",44551,44.4,5052,8145,29392,01,093,01093
"Marshall County, Alabama",52938,39.0,16960,30402,97179,01,095,01095
"Mobile County, Alabama",51169,38.3,71693,126344,414620,01,097,01097
"Monroe County, Alabama",32631,43.6,4406,3885,20115,01,099,01099
"Montgomery County, Alabama",52511,36.8,43395,75351,229072,01,101,01101
"Morgan County, Alabama",56128,40.6,17569,37914,122608,01,103,01103
"Perry County, Alabama",27057,38.8,2819,1631,8702,01,105,01105
"Pickens County, Alabama",43389,43.0,3983,5080,19240,01,107,01107
"Pike County, Alabama",40106,31.9,7470,8518,33176,01,109,01109
"Randolph County, Alabama",47081,44.1,3907,6597,21984,01,111,01111
"Russell County, Alabama",44065,37.1,12686,17391,58695,01,113,01113
"St. Clair County, Alabama",65070,40.5,10649,28630,90412,01,115,01115
"Shelby County, Alabama",82592,39.7,15190,75487,220780,01,117,01117
"Sumter County, Alabama",27099,35.8,3676,3236,12482,01,119,01119
"Talladega County, Alabama",45400,41.7,14564,25712,81850,01,121,01121
"Tallapoosa County, Alabama",50652,45.1,6828,12963,41284,01,123,01123
"Tuscaloosa County, Alabama",57508,33.6,33748,69577,223945,01,125,01125
"Walker County, Alabama",47442,41.7,10817,19384,65194,01,127,01127
"Washington County, Alabama",44512,43.9,2576,3736,15574,01,129,01129
"Wilcox County, Alabama",36385,40.8,2864,2579,10686,01,131,01131
"Winston County, Alabama",46096,45.4,4490,7031,23650,01,133,01133
"Aleutians East Borough, Alaska",72258,43.2,454,526,3409,02,013,02013
"Aleutians West Census Area, Alaska",90708,39.4,415,773,5251,02,016,02016
"Anchorage Municipality, Alaska",88871,34.3,26182,98950,292545,02,020,02020
"Bethel Census Area, Alaska",57460,28.6,5186,3380,18514,02,050,02050
"Bristol Bay Borough, Alaska",81563,39.9,29,241,849,02,060,02060
"Chugach Census Area, Alaska",87868,38.1,281,2303,7015,02,063,02063
"Copper River Census Area, Alaska",67439,42.8,298,708,2635,02,066,02066
"Denali Borough, Alaska",78750,45.3,334,446,2187,02,068,02068
"Dillingham Census Area, Alaska",62115,30.4,876,1021,4899,02,070,02070
"Fairbanks North Star Borough, Alaska",78321,31.9,5943,31197,97149,02,090,02090
"Haines Borough, Alaska",63355,41.8,347,650,2098,02,100,02100
"Hoonah-Angoon Census Area, Alaska",55990,50.7,205,482,2327,02,105,02105
"Juneau City and Borough, Alaska",90126,38.6,2293,11887,32240,02,110,02110
"Kenai Peninsula Borough, Alaska",70609,41.4,6819,19354,58711,02,122,02122
"Ketchikan Gateway Borough, Alaska",77820,40.3,1289,4805,13939,02,130,02130
"Kodiak Island Borough, Alaska",83765,35.2,1006,3958,13218,02,150,02150
"Kusilvak Census Area, Alaska",37975,24.0,3032,1271,8354,02,158,02158
"Lake and Peninsula Borough, Alaska",49688,33.2,153,211,986,02,164,02164
"Matanuska-Susitna Borough, Alaska",79300,35.9,11138,34033,106807,02,170,02170
"Nome Census Area, Alaska",63977,29.0,2118,2167,10070,02,180,02180
"North Slope Borough, Alaska",83992,33.5,913,1465,10865,02,185,02185
"Northwest Arctic Borough, Alaska",68654,28.7,1580,1425,7776,02,188,02188
"Petersburg Borough, Alaska",71696,49.0,160,1036,3368,02,195,02195
"Prince of Wales-Hyder Census Area, Alaska",55857,43.0,1007,1580,5886,02,198,02198
"Sitka City and Borough, Alaska",82083,39.2,573,2928,8518,02,220,02220
"Skagway Municipality, Alaska",75000,40.5,64,339,1329,02,230,02230
"Southeast Fairbanks Census Area, Alaska",68634,36.6,773,1506,6849,02,240,02240
"Wrangell City and Borough, Alaska",54891,45.1,258,653,2162,02,275,02275
"Yakutat City and Borough, Alaska",72083,37.2,41,181,562,02,282,02282
"Yukon-Koyukuk Census Area, Alaska",43405,35.6,1249,872,5433,02,290,02290
"Apache County, Arizona",34788,35.5,22089,8344,66473,04,001,04001
"Cochise County, Arizona",55077,41.2,16872,41621,125092,04,003,04003
"Coconino County, Arizona",61888,31.5,23170,41114,144942,04,005,04005
"Gila County, Arizona",51406,50.3,10329,16550,53211,04,007,04007
"Graham County, Arizona",57105,33.8,6940,9425,38145,04,009,04009
"Greenlee County, Arizona",67723,35.9,1097,2909,9542,04,011,04011
